21420,801022,11000 N @ 6350 W,W 11000 N,40.431919,-111.811242
18939,135185,LAKE PARK BLVD @ 4647 W,W LAKE PARK BLVD,40.712241,-112.001395
17387,172082,REDWOOD RD @ 8001 S,S REDWOOD RD,40.606603,-111.938598
22481,301313,PARK LN @ 189 N,N PARK LN,40.983555,-111.911459
22480,301312,100 N @ 1051 W,W 100 N,40.982181,-111.909843
1760,138081,2300 E @ 4510 S,S 2300 E,40.673866,-111.824613
11191,623315,WALL AVE @ 934 S,S WALL AVE,41.247339,-111.978015
18647,813003,CENTER ST @ 960 E,E CENTER ST,40.296797,-111.672629
18644,817004,800 E @ 385 S,S 800 E,40.289921,-111.676195
18645,817005,800 E @ 225 S,S 800 E,40.292695,-111.676261
14479,126228,1100 E @ 909 S,S 1100 E,40.749459,-111.859452
14478,126417,1100 E @ 991 S,S 1100 E,40.747572,-111.859466
18640,115047,AMELIA EARHART DR @ 5610 W,W AMELIA EARHART DR,40.776459,-112.026008
14471,126426,1100 E @ 1621 S,S 1100 E,40.734177,-111.859557
14470,137222,HIGHLAND DR @ 4175 S,S HIGHLAND DR,40.680818,-111.842986
14473,126428,1100 E @ 1457 S,S 1100 E,40.737981,-111.859523
14472,126427,1100 E @ 1545 S,S 1100 E,40.73607,-111.859581
14475,126414,1100 E @ 1229 S,S 1100 E,40.742196,-111.859524
14474,126429,1100 E @ 1371 S,S 1100 E,40.739737,-111.859539
14477,126416,1100 E @ 1081 S,S 1100 E,40.745638,-111.85949
14476,126415,1100 E @ 1157 S,S 1100 E,40.743657,-111.859515
8716,623099,POLK AVE @ 2990 S   (OGDEN),S POLK AVE,41.210109,-111.942916
13841,101003,HILL FIELD RD @ 1655 N,N HILL FIELD RD,41.083793,-111.973621
13840,101001,HILL FIELD RD @ 1891 N,N HILL FIELD RD,41.087382,-111.973612
13842,109095,900 E @ 761 N,N 900 E,40.897436,-111.863148
13849,107065,STATE ST @ 220 W,W STATE ST,40.980577,-111.892379
13848,107064,STATE ST @ 108 W,W STATE ST,40.980584,-111.890029
11762,629202,36TH ST @ 1056 E,E 36TH ST,41.197658,-111.952757
11763,629203,36TH ST @ 910 E,E 36TH ST,41.197657,-111.956833
23266,198086,3RD AVE @ 361 E,E 3RD AVE,40.77288,-111.878829
11569,623214,HARRISON BLVD @ 3415 S,S HARRISON BLVD,41.201305,-111.948841
23264,198084,2ND AVE @ 290 E,E 2ND AVE,40.771656,-111.880739
23265,198085,2ND AVE @ 340 E,E 2ND AVE,40.771651,-111.879267
23262,198082,2ND AVE @ 124 E,E 2ND AVE,40.771658,-111.886665
23263,198083,2ND AVE @ 190 E,E 2ND AVE,40.771652,-111.883757
11561,623206,HARRISON BLVD @ 2581 S    (OGDEN),S HARRISON BLVD,41.218444,-111.948438
11562,623207,HARRISON BLVD @ 2689 S,S HARRISON BLVD,41.216367,-111.948479
11563,623208,HARRISON BLVD @ 2815 S,S HARRISON BLVD,41.213768,-111.948526
11564,623209,HARRISON BLVD @ 2903 S    (OGDEN),S HARRISON BLVD,41.211693,-111.948572
11567,623212,HARRISON BLVD @ 3225 S,S HARRISON BLVD,41.205352,-111.948729
17037,172085,7800 S @ 1579 W,W 7800 S,40.609404,-111.936326
22249,301281,500 S @ 779 E,E 500 S,40.884367,-111.865375
22248,301280,500 S @ 925 E,E 500 S,40.884358,-111.862358
22247,301279,DAVIS BLVD @ 592 S,S DAVIS BLVD,40.883192,-111.859991
22246,301278,DAVIS BLVD @ 834 S,S DAVIS BLVD,40.880339,-111.861661
22245,301277,DAVIS BLVD @ 833 S,S DAVIS BLVD,40.880316,-111.861502
22244,301276,DAVIS BLVD @ 591 S,S DAVIS BLVD,40.883166,-111.859838
22243,301275,REDWOOD RD @ 995 N,N REDWOOD RD,40.858691,-111.930012
22242,301274,FOX HOLLOW DR @ 1027 N,N FOX HOLLOW DR,40.859941,-111.938161
22241,301273,FOX HOLLOW DR @ 1024 N,N FOX HOLLOW DR,40.859915,-111.938015
22240,301272,FOX HOLLOW DR @ 776 N,N FOX HOLLOW DR,40.856254,-111.938582
10707,820161,600 S @ 1598 W,W 600 S,40.225895,-111.687013
12039,605055,US HWY 89 @ 2625 S,S US HWY 89,41.462334,-112.035592
12032,605054,US HWY 89 @ 3425 S,S US HWY 89,41.447731,-112.037607
12031,636012,US HWY 89 @ 1050 N,N US HWY 89,41.427401,-112.035514
12030,636011,US HWY 89 @ 760 N,N US HWY 89,41.422581,-112.035678
12037,608008,US HWY 89 @ 8615 S,S US HWY 89,41.353498,-112.035635
12036,610050,US HWY 89 @ 8705 S,S US HWY 89,41.351361,-112.035316
21639,101353,1700 S @ 405 E,E 1700 S,40.733561,-111.879337
21638,101352,1700 S @ 380 E,E 1700 S,40.733447,-111.879994
21632,101356,REDWOOD RD @ 3140 S,S REDWOOD RD,40.702955,-111.939118
21637,101351,1900 E @ 1619 S,S 1900 E,40.734099,-111.836433
21636,601052,ADAMS AVENUE @ 2241 S    (OGDEN),S ADAMS AVENUE,41.225279,-111.967659
21635,601051,ADAMS AVENUE @ 2240 S   (OGDEN),S ADAMS AVENUE,41.225133,-111.967467
3689,823063,400 S @ 20 E,E 400 S,40.161027,-111.610074
23834,301395,CONNECTICUT DR @ 1286 W,W CONNECTICUT DR ,41.128951,-112.022388
23340,830027,800 E @ 985 N,N 800 E,40.315308,-111.676817
23342,198107,TERMINAL DR @ 714 N,N TERMINAL DR,40.784282,-111.98047
22812,101833,11400 S @ 930 W,W 11400 S,40.544348,-111.918438
22810,101831,JORDAN GATEWAY @ 11328 S,S JORDAN GATEWAY,40.546241,-111.898809
22817,101838,3600 W @ 11576 S,S 3600 W,40.540874,-111.976866
5053,633087,MAIN ST @ 2030 N   (LAYTON),N MAIN ST,41.090395,-112.002129
23348,830031,1200 W @ 1086 N,N 1200 W,40.317058,-111.724517
10760,817027,820 N @ 1352 W,W 820 N,40.244727,-111.682072
22520,101684,3900 S @ 2108 E,E 3900 S,40.687023,-111.830834
10767,817031,1460 N @ 1510 W,W 1460 N,40.253521,-111.685714
10769,816019,1460 N @ 1870 W,W 1460 N,40.253524,-111.690692
22521,101685,3900 S @ 2230 E,E 3900 S,40.687013,-111.826641
21294,S177014,LITTLE COTTONWOOD CANYON @ 9105 E,E LITTLE COTTONWOOD CANYON,40.578521,-111.667981
18893,172046,SOUTH JORDAN PKWY @ 692 W,W SOUTH JORDAN PKWY,40.559097,-111.910541
14867,153144,CENTER ST @ 178 W,W CENTER ST,40.611017,-111.896844
14640,125222,CONCORD ST @ 398 S,S CONCORD ST,40.760886,-111.927107
18890,152044,JORDAN LANDING BLVD @ 7181 S,S JORDAN LANDING BLVD,40.620435,-111.982345
14646,125228,ARAPAHOE AVE @ 1524 W,W ARAPAHOE AVE,40.755037,-111.934017
18896,125104,CHEYENNE ST @ 324 S,S CHEYENNE ST,40.762167,-111.934354
18895,172063,SOUTH JORDAN PKWY @ 1360 W,W SOUTH JORDAN PKWY,40.562369,-111.930259
18894,172052,SOUTH JORDAN PKWY @ 1068 W,W SOUTH JORDAN PKWY,40.560743,-111.920952
18899,125113,CHEYENNE ST @ 656 S,S CHEYENNE ST,40.755219,-111.934321
18898,125112,CHEYENNE ST @ 598 S,S CHEYENNE ST,40.756759,-111.934323
14869,153146,CENTER ST @ 423 W,W CENTER ST,40.611023,-111.902601
19090,135188,CONSTITUTION BLVD @ 2880 S,S CONSTITUTION BLVD,40.707923,-111.958112
18768,BB174085,9400 S @ 2000 E,E 9400 S,40.578751,-111.832724
18761,629215,4600 S @ 1048 E,E 4600 S,41.178741,-111.953341
18760,629214,4600 S @ 1186 E,E 4600 S,41.179666,-111.950104
18762,629216,4600 S @ 906 E,E 4600 S,41.179376,-111.956009
18765,812047,1200 W @ 1575 N,N 1200 W,40.325778,-111.724978
18764,624022,TAYLOR AVE @ 3025 S,S TAYLOR AVE,41.209244,-111.940291
18766,812048,1200 W @ 1586 N,N 1200 W,40.326019,-111.724769
13898,630035,US HWY 89 @ 6190 S,S US HWY 89,41.152404,-111.936218
23078,198018,5400 S @ 1434 W,W 5400 S,40.653187,-111.933013
23073,801164,PROVO CENTRAL STATION,S UNIVERSITY AVE,40.22544,-111.660632
23071,801160,AMERICAN FORK STATION,W 200 SOUTH,40.374774,-111.820649
23076,801163,OREM CENTRAL STATION,S 1350 W,40.28014,-111.725489
23074,801159,LEHI STATION,N ASHTON BLVD,40.425196,-111.896354
15114,173098,1300 E @ 8024 S,S 1300 E,40.605055,-111.853264
15110,154143,UNION PARK AVE @ 7290 S,S UNION PARK AVE,40.618864,-111.857547
12858,111079,US HWY 89 @ 270 S  (N. SALT LAKE),S US HWY 89,40.836598,-111.913191
12589,109129,MAIN ST @ 620 S,S MAIN ST,40.882142,-111.880796
12588,109128,MAIN ST @ 498 S   (BOUNTIFUL),S MAIN ST,40.884421,-111.880824
12583,109122,MAIN ST @ 935 N,N MAIN ST,40.898997,-111.879091
12582,109121,MAIN ST @ 1101 N,N MAIN ST,40.900975,-111.879146
12581,109120,MAIN ST @ 1265 N,N MAIN ST,40.902431,-111.878951
12580,109118,MAIN ST @ 1469 N    (BOUNTIFUL),N MAIN ST,40.904164,-111.879087
12587,109127,MAIN ST @ 298 S,S MAIN ST,40.886481,-111.880791
12586,109125,MAIN ST @ 301 N,N MAIN ST,40.892623,-111.880823
12585,109124,MAIN ST @ 523 N,N MAIN ST,40.895268,-111.879135
12584,109123,MAIN ST @ 801 N,N MAIN ST,40.897922,-111.879047
18244,111008,ORCHARD DR @ 75 N,N ORCHARD DR,40.842851,-111.904323
22654,801128,STATE ST @ 1390 E,E STATE ST,40.389294,-111.828332
22650,TX101743,DECKER LAKE STATION,S 2200 W,40.704288,-111.948681
22651,TX101744,WEST VALLEY CENTRAL STATION,S 2790 W,40.694366,-111.958917
22652,TX101745,WEST VALLEY CENTRAL STATION,S 2790 W,40.694361,-111.959834
22653,801127,STATE STREET @ 1401 E,E STATE STREET,40.389178,-111.827426
22658,601189,200 S @ 362 E,E 200 S,41.259287,-111.970941
22388,801098,CAMPUS DR @ 891 S,S CAMPUS DR,40.280723,-111.715732
22383,801094,1200 W @ 270 S,S 1200 W,40.292643,-111.724347
22384,801095,1200 W @ 117 N,N 1200 W,40.299482,-111.724402
11768,629208,36TH ST @ 370 E,E 36TH ST,41.197889,-111.971992
13980,632004,1000 W @ 345 N,N 1000 W,41.118759,-112.045382
23381,636032,26TH ST @ 181 E,26TH ST ,41.218579,-111.976637
